,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject
0,Ultimate Investment Banking Course,True,200.0,2147,23.0,51,All Levels,1.5,Business Finance
1,Complete GST Course & Certification - Grow Your CA Practice,True,75.0,2792,923.0,274,All Levels,39.0,Business Finance
2,Financial Modeling for Business Analysts and Consultants,True,45.0,2174,74.0,51,Intermediate Level,2.5,Business Finance
3,Beginner to Pro - Financial Analysis in Excel 2017,True,95.0,2451,11.0,36,All Levels,3.0,Business Finance
4,How To Maximize Your Profits Trading Options,True,200.0,1276,45.0,26,Intermediate Level,2.0,Business Finance
5,Trading Penny Stocks: A Guide for All Levels In 2017,True,150.0,9221,138.0,25,All Levels,3.0,Business Finance
6,Investing And Trading For Beginners: Mastering Price Charts,True,65.0,1540,178.0,26,Beginner Level,1.0,Business Finance
7,"Trading Stock Chart Patterns For Immediate, Explosive Gains",True,95.0,2917,148.0,23,All Levels,2.5,Business Finance
8,Options Trading 3 : Advanced Stock Profit and Success Method,True,195.0,5172,34.0,38,Expert Level,2.5,Business Finance
9,The Only Investment Strategy You Need For Your Retirement,True,200.0,827,14.0,15,All Levels,1.0,Business Finance
10,Forex Trading Secrets of the Pros With Amazon's AWS,True,200.0,4284,93.0,76,All Levels,5.0,Business Finance
11,Trading Options With Money Flow,True,200.0,1380,42.0,17,All Levels,1.0,Business Finance
12,Financial Management Risk and Return For Securities,True,30.0,3607,21.0,19,All Levels,1.5,Business Finance
13,Forex Trading Course: Work Smarter Not Harder Proven Results,True,195.0,4061,52.0,16,All Levels,2.0,Business Finance
14,Python Algo Trading: Sentiment Trading with News,True,200.0,294,19.0,42,All Levels,7.0,Business Finance
15,Short Selling: Learn To Sell Stocks Before The Fall,True,75.0,2276,106.0,19,Intermediate Level,1.5,Business Finance
16,Basic Technical Analysis: Learn the structure of the market,True,20.0,4919,79.0,16,Beginner Level,1.5,Business Finance
17,The Complete Chart Pattern Trading Course: A Proven Approach,True,200.0,2666,115.0,52,All Levels,4.0,Business Finance
18,7 Deadly Mistakes of Investing that Will Slash Your Profits!,True,50.0,5354,24.0,23,All Levels,1.5,Business Finance
19,Financial Statements Made Easy,True,95.0,8095,249.0,12,Beginner Level,,Business Finance
20,Winning Forex Trading with Live Forex Trading Examples,True,200.0,809,3.0,25,All Levels,2.0,Business Finance
21,Forex Traders - Create Your First Trading Robot. No Coding!,True,200.0,2295,84.0,39,All Levels,4.0,Business Finance
22,Create A Business From Home Trading Stocks Today In 2017,True,75.0,10149,83.0,16,All Levels,2.0,Business Finance
